code,open,high,low,close,volume,거래대금,등락률,시가총액,foreign_net,inst_net,date
061250,1105,1110,1070,1105,514504,561254471,0.0,95600010935,-120349304.0,32680000.0,20251103
097870,6030,6030,5850,5850,42685,251941320,-2.99,49666500000,-119239400.0,-5782390.0,20251103
290270,3795,3850,3640,3730,44702,167182223,-2.74,35836616560,6919935.0,-1601150.0,20251103
353190,744,770,715,730,114245,83549947,-1.88,28746246600,-1125127.0,,20251103
090710,6610,7330,6500,7090,35894764,251460027210,9.92,846951526730,2534556435.0,882432570.0,20251103
078590,940,1054,860,963,30839644,29943134298,3.1,63760555494,-108997905.0,-103070.0,20251103
205470,1223,1231,1196,1196,1078540,1300896425,-2.21,154732510764,33486312.0,-50136199.0,20251103
115160,920,949,911,929,80612,75055497,0.98,40848245196,-4806947.0,,20251103
028080,1614,1646,1608,1645,41738,67547250,1.92,20689997370,1927953.0,,20251103
175140,4710,4840,4710,4755,66483,316880096,0.0,117914547060,24353756.0,,20251103
200670,50900,52000,50300,50800,115664,5906255750,0.99,570480444000,659075150.0,-440304600.0,20251103
065510,8210,8280,8000,8090,81888,664043665,-1.94,92920631670,-14766960.0,-105250.0,20251103
263920,4035,4035,3905,3925,10456,41045196,-2.73,38500427050,-1836535.0,,20251103
243070,29200,30100,28800,28850,38922,1144393175,-1.2,345613335250,59086975.0,140917850.0,20251103
084110,54500,54600,51000,54000,38816,2088982000,-0.92,682388280000,-417767400.0,198937900.0,20251103
145020,267500,271000,260000,263000,66233,17582968750,0.38,3235960679000,1144577750.0,-632146750.0,20251103
024060,12300,12380,12190,12260,159534,1951698685,-0.24,183900000000,-170002290.0,36750.0,20251103
010240,4895,4895,4855,4860,27122,132001520,-0.72,59888302560,-22885320.0,-7856240.0,20251103
189980,1662,1662,1601,1618,148446,243143723,-2.65,64943004086,-96206107.0,4494562.0,20251103
037440,4250,4250,3925,3950,273624,1110017203,-7.39,54993776250,-343113107.0,,20251103
238490,3395,3410,3320,3385,33309,112338454,-0.29,38291918860,-10539037.0,,20251103
